Die deutsche Öko-Lüge;"""Grüner wird's nicht"" titelt der ""Spiegel"" nach der Bayern-Wahl. Doch: Es muss noch viel grüner werden, wenn die Alt-Parteien nicht endlich aufwachen. Doch CDU/CSU, SPD und FDP wollen auch jetzt noch immer so weitermachen wie bisher und sich in ihrer Öko-Lüge einigeln. Ein Kommentar";https://heise.cloudimg.io/width/2048/q50.png-lossy-50.webp-lossy-50.foil1/_www-heise-de_/tp/imgs/89/2/5/2/4/7/4/2/alt-65fcdb8f8e71d939.jpeg;Franz Alt;heute, 14:00 Uhr;86
Altai-Pipeline wieder im Gespräch;Geopolitische Veränderungen setzen die Umsetzung eines zwischenzeitlich in der Schublade der Planer verschwundenen Projekts auf die Tagesordnung;https://heise.cloudimg.io/width/960/q50.png-lossy-50.webp-lossy-50.foil1/_www-heise-de_/tp/imgs/89/2/5/1/5/0/8/7/01a112775b01af47.jpeg;Bernd Schröder;16. Oktober 2018, 10:00 Uhr;27
Schäden durch Überschwemmungen und Stürme haben stark zugenommen;Die Energie- und Klimawochenschau: Von Klimaschäden und Armut, Landnutzung und Klimaschutz und positiven Trends beim Solarstrom;https://heise.cloudimg.io/width/1024/q50.png-lossy-50.webp-lossy-50.foil1/_www-heise-de_/tp/imgs/89/2/5/2/0/4/9/0/30286852567_8422492d55_b-c9edc7934b44af26.jpeg;Jutta Blume;16. Oktober 2018, 08:00 Uhr;241
Der moralische Bankrott von RWE und Politik;Ein Kommentar zum Ausgang der Bayernwahl;https://heise.cloudimg.io/width/800/q50.png-lossy-50.webp-lossy-50.foil1/_www-heise-de_/tp/imgs/89/2/5/2/0/2/1/8/energiewende_ho-2e52493389f68a81.jpeg;Franz Alt;15. Oktober 2018, 15:00 Uhr;252
Kohleausstieg: Schon ein bisschen ist für Altmaier zu viel;"Hinter den Kulissen wird gemunkelt, dass ein paar Braunkohlekraftwerke schon bald abgeschaltet werden könnten. Doch das Bundeswirtschaftsministerium dementiert
";https://heise.cloudimg.io/width/1364/q50.png-lossy-50.webp-lossy-50.foil1/_www-heise-de_/tp/imgs/89/2/5/1/9/5/3/8/Kraftwerk_Buschhaus_Unwetter-bf4d2dc25e8afb34.jpeg;Wolfgang Pomrehn;13. Oktober 2018, 09:30 Uhr;239
Nur die allerdümmsten Kälber …;Wir leben in einer sehr bemerkenswerten Zeit. Und wir Menschen sind eine besonders bemerkenswerte Spezies, homo sapiens. Doch ganz besonders seltsam verhält sich zurzeit homo GERMANICUS - Ein Kommentar;https://heise.cloudimg.io/width/2934/q50.png-lossy-50.webp-lossy-50.foil1/_www-heise-de_/tp/imgs/89/2/5/1/8/6/9/4/auspuff_ho-c554acaacdef8dcb.jpeg;Franz Alt;11. Oktober 2018, 16:30 Uhr;341
Unwetter: Tropenstürme am Fließband;"""Michael"" schüttelt gerade den Südosten der USA durch, aber auch seine Gefährten verdienen ein bisschen mehr mediale Aufmerklsamkeit";https://heise.cloudimg.io/width/1200/q50.png-lossy-50.webp-lossy-50.foil1/_www-heise-de_/tp/imgs/89/2/5/1/8/0/9/0/HurricaneMichael-1200x800-91146ea867a225af.jpeg;Wolfgang Pomrehn;11. Oktober 2018, 09:00 Uhr;43
Autoabgase: Bundesregierung gegen wirksamen Klimaschutz;EU-Umweltminister beschließen unzureichende Klimaschutzziele für Pkw und Transporter. Letztes Wort fällt in den Verhandlungen mit dem EU-Parlament;https://heise.cloudimg.io/width/960/q50.png-lossy-50.webp-lossy-50.foil1/_www-heise-de_/tp/imgs/89/2/5/1/7/4/6/7/diesel_ho-0cd55e0bbca89483.jpeg;Wolfgang Pomrehn;10. Oktober 2018, 19:24 Uhr;96
Niederlande zu umfangreicheren Umweltschutzmaßnahmen verklagt;"Auch das Berufungsgericht zwingt den Staat wegen ""realer Bedrohung durch gefährlichen Klimawandel"" zum Handeln";https://heise.cloudimg.io/width/2003/q50.png-lossy-50.webp-lossy-50.foil1/_www-heise-de_/tp/imgs/89/2/5/1/8/0/1/0/Centrale_Maasvlakte_oud_en_neiuw-2a16d3d06018ef8b.jpeg;Stephan Schleim;10. Oktober 2018, 18:30 Uhr;84
Das war es also mit RWE;Ein 120 Jahre altes Unternehmen, das dereinst ganze Regionen mit Energie und Arbeitsplätzen versorgte, begibt sich auf den Weg in die moralische und voraussichtlich auch in die wirtschaftliche Insolvenz;https://heise.cloudimg.io/width/960/q50.png-lossy-50.webp-lossy-50.foil1/_www-heise-de_/tp/imgs/89/2/5/1/6/8/8/6/RWE-Bagger-2-F2-9db0e4c59b5b95ba.png;Stephan Anpalagan;10. Oktober 2018, 16:00 Uhr;324
Wenn Windenergie zur Klimaerwärmung beiträgt;Ein massiver Ausbau von Onshore-Windparks im Zuge der Dekarbonisierung würde wegen geringerer Energiedichte  viel mehr Fläche als Solaranlagen verbrauchen;https://heise.cloudimg.io/width/773/q50.png-lossy-50.webp-lossy-50.foil1/_www-heise-de_/tp/imgs/89/2/5/1/7/2/4/7/Gansu-f39ce69a1fdd354c.jpeg;Florian Rötzer;10. Oktober 2018, 11:25 Uhr;187
Geht der neue Atommeiler in Flamanville überhaupt noch ans Netz?;Der neue französische Umweltminister will die Uraltmeiler in Fessenheim bis 2022 laufen lassen, entkoppelt nun aber ihre Abschaltung von der Inbetriebnahme in Flamanville;https://heise.cloudimg.io/width/1600/q50.png-lossy-50.webp-lossy-50.foil1/_www-heise-de_/tp/imgs/89/2/5/1/6/8/7/0/Centrale_nucl_aire_de_Fessenheim2-9ea16f8ae69954d0.jpeg;Ralf Streck;10. Oktober 2018, 10:00 Uhr;27
Das halbe Grad macht einen wesentlichen Unterschied;Die Energie- und Klimawochenschau: Über den Triumph der Klimaschützer im Hambacher Forst, den IPCC-Sonderbericht zum 1,5-Grad-Ziel und weltweite Neubaupläne für Kohlekraftwerke;https://heise.cloudimg.io/width/1045/q50.png-lossy-50.webp-lossy-50.foil1/_www-heise-de_/tp/imgs/89/2/5/1/5/5/1/4/ipcc-d116862a83c042b9.jpeg;Jutta Blume;09. Oktober 2018, 00:00 Uhr;483
Spanien schafft absurde Sonnensteuer ab;Die konservative PP hatte mit drakonischen Strafen den Eigenverbrauch von Solarstrom verhindert und ein explodierender Strompreis lässt einen tödlichen Energiearmuts-Winter befürchten;https://heise.cloudimg.io/width/1599/q50.png-lossy-50.webp-lossy-50.foil1/_www-heise-de_/tp/imgs/89/2/5/1/4/7/5/2/Paneles_solares_en_Cari_ena__Espa_a__2015-01-08__DD_08-4f4924f14feb998d.jpeg;Ralf Streck;07. Oktober 2018, 19:00 Uhr;223
Hambacher Forst: Der Wald ist wieder besetzt;50.000 Menschen kamen zur Großdemo - doch dem Wald selbst wurde heute nicht geholfen;https://heise.cloudimg.io/width/800/q50.png-lossy-50.webp-lossy-50.foil1/_www-heise-de_/tp/imgs/89/2/5/1/4/5/9/7/demo_von_oben2-57b7ac30e62de05c.jpeg;Gerrit Wustmann;07. Oktober 2018, 00:00 Uhr;240
